"Acronym, Common Name or Chemical Name",Chemical Formula,Lifetime (Years),Radiative Efficiency (W m-2 ppb-1),AGWP 20-year (W m-2 yr kg-1),GWP 20-year,AGWP 100-year (W m-2 yr kg-1),GWP 100-year,AGTP 20-year (K kg-1),GTP 20-year,AGTP 50-year (K kg-1),GTP 50-year,AGTP 100-year (K kg-1),GTP 100-year
Carbon dioxide,CO2,see*,1.37E-05,2.49E-14,1,9.17E-14,1,6.84E-16,1,6.17E-16,1,5.47E-16,1
Methane,CH4,12.4,0.000363,2.09E-12,84,2.61E-12,28,4.62E-14,67,8.69E-15,14,2.34E-15,4
Fossil methane,CH4,12.4,0.000363,2.11E-12,85,2.73E-12,30,4.68E-14,68,9.55E-15,15,3.11E-15,6
Nitrous Oxide,N2O,121,0.003,6.58E-12,264,2.43E-11,265,1.89E-13,277,1.74E-13,282,1.28E-13,234
CFC-11,CCl3F,45,0.26,1.72E-10,6900,4.28E-10,4660,4.71E-12,6890,3.01E-12,4890,1.28E-12,2340
CFC-12,CCl2F2,100,0.32,2.69E-10,10800,9.39E-10,10200,7.71E-12,11300,6.75E-12,11000,4.62E-12,8450
CFC-13,CClF3,640,0.25,2.71E-10,10900,1.27E-09,13900,7.99E-12,11700,8.77E-12,14200,8.71E-12,15900
CFC-113,CCl2FCClF2,85,0.3,1.62E-10,6490,5.34E-10,5820,4.6E-12,6730,3.85E-12,6250,2.45E-12,4470
CFC-114,CClF2CClF2,190,0.31,1.92E-10,7710,7.88E-10,8590,5.6E-12,8190,5.56E-12,9020,4.68E-12,8550
CFC-115,CClF2CF3,1020,0.2,1.46E-10,5860,7.03E-10,7670,4.32E-12,6310,4.81E-12,7810,4.91E-12,8980
HCFC-21,CHCl2F,1.7,0.15,1.35E-11,543,1.35E-11,148,1.31E-13,192,1.59E-14,26,1.12E-14,20
HCFC-22,CHClF2,11.9,0.21,1.32E-10,5280,1.62E-10,1760,2.87E-12,4200,5.13E-13,832,1.43E-13,262
HCFC-122,CHCl2CF2Cl,1,0.17,5.43E-12,218,5.43E-12,59,4.81E-14,70,6.25E-15,10,4.47E-15,8
HCFC-122a,CHFClCFCl2,3.4,0.21,2.36E-11,945,2.37E-11,258,2.91E-13,426,2.99E-14,48,1.96E-14,36
HCFC-123,CHCl2CF3,1.3,0.15,7.28E-12,292,7.28E-12,79,6.71E-14,98,8.45E-15,14,6E-15,11
HCFC-123a,CHClFCF2Cl,4,0.23,3.37E-11,1350,3.39E-11,370,4.51E-13,659,4.44E-14,72,2.81E-14,51
HCFC-124,CHClFCF3,5.9,0.2,4.67E-11,1870,4.83E-11,527,7.63E-13,1120,7.46E-14,121,4.03E-14,74
